ticker,score,sector,missing_data,pe_ratio,forward_pe,peg_ratio,roe,dividend_yield,debt_to_equity,current_ratio,revenue_growth,eps_growth,price_to_book,market_cap
META,1.8319,Technology,0,21.578545,16.032917,0.87,0.32930002,0.35,0.35607999999999995,2.348,0.331,0.624,6.1805167,1506325692416
HWM,1.5995,Technology,0,1682.5883,47.25497,0.8,0.33818,0.17,0.8779399999999999,2.444,0.191,0.714,20.771187,114446745600
AMZN,1.274,Technology,0,27.647903,23.270254,1.24,0.24285,,0.5329999999999999,1.177,0.166,0.748,5.6179886,2483386318848
FSLR,1.0641,Technology,0,13.08721,8.646695,0.54,0.18436001,,0.05943,2.557,0.236,0.651,2.2036462,21768976384
EME,0.746,Technology,0,23.701141,21.436575,0.4,0.39229,0.22,0.13355,1.26,0.197,0.3,8.112314,31431976960
AVGO,0.6041,Technology,0,63.274086,19.520052,0.43,0.37280998,0.68,0.7401800000000001,2.238,0.479,0.854,20.667933,1812209860608
AMAT,0.5777,Technology,0,44.73803,28.185493,1.31,0.39692003,0.41,0.30399,2.508,0.114,0.335,15.821877,378289913856
MSFT,0.5686,Technology,0,23.399763,20.285183,1.2,0.34013999,0.94,0.30271000000000003,1.283,0.183,0.234,7.05219,2921974988800
LRCX,0.51,Technology,0,51.062496,32.957966,1.68,0.66762,0.36,0.35281999999999997,2.536,0.238,0.408,31.853733,337166434304
A,0.4982,Technology,0,28.220882,21.256063,1.22,0.21330999,0.74,0.49733,2.099,0.1,0.6,5.569028,39692984320
AMP,0.4916,Technology,0,135.30199,10.6502495,1.75,0.63432,1.26,0.63195,8.779,0.116,0.117,7.5904684,48321208320
INTU,0.4864,Technology,0,19.108059,11.449183,0.79,0.22496,1.58,0.33448,1.453,0.104,0.107,4.161271,85614338048
EOG,0.4855,Technology,0,13.73058,9.5000305,1.12,0.18195,2.91,0.26873,1.716,0.156,0.396,2.4164188,74376249344
NVDA,0.474,Technology,0,30.216257,15.3088455,0.54,1.14288,0.51,0.06555,3.441,0.852,2.145,24.41264,4771778920448
NFLX,0.4687,Technology,0,22.76415,18.962374,1.58,0.49541,,0.55236,1.142,0.134,0.111,9.997237,301427589120
KEYS,0.4254,Technology,0,49.14171,25.6806,1.12,0.18174,,0.43642000000000003,1.903,0.315,0.356,8.230931,52152139776
MPWR,0.3915,Technology,0,92.0323,41.9086,1.74,0.19574,0.6,0.543,4.787,0.261,0.395,17.127266,62985150464
HIG,0.3858,Technology,0,9.904696,10.450138,0.12,0.22061001,1.71,0.22329999999999997,1.772,0.081,0.361,2.01855,39315841024
DXCM,0.3592,Technology,0,32.124462,24.320662,1.37,0.35624,,0.46832999999999997,1.948,0.15,0.922,9.76899,28882593792
MU,0.354,Technology,0,18.564028,5.337144,0.13,0.66638,0.06,0.0633,3.425,3.457,13.685,12.77348,926700994560
FFIV,0.3164,Technology,0,33.07049,22.275446,1.76,0.1983,,0.05672,1.665,0.109,0.114,6.2740645,22762909696
GL,0.3155,Technology,1,11.9049835,10.846797,1.3,,0.76,53.588,,0.08,0.197,2.2934933,13911611392
PODD,0.276,Technology,0,39.220142,20.792336,1.46,0.22997999,,0.7784399999999999,2.487,0.339,1.59,8.905137,11599754240
BKNG,0.2244,Technology,1,26.294195,16.239197,0.81,,0.86,,1.057,0.162,2.4,-17.8194,154441023488
FICO,0.1734,Technology,1,42.41968,24.495066,0.89,,,,2.223,0.387,0.69,-14.810848,30988150784
