ticker,score,price,1m_momentum,3m_momentum,annual_volatility
AAPL,48.89,340.08,17.5%,21.4%,28.2%
BAC,39.93,62.62,9.9%,17.6%,20.6%
ABT,36.12,107.27,15.7%,18.2%,35.5%
TMO,34.48,576.41,13.8%,20.3%,35.8%
JPM,33.12,357.31,9.2%,14.4%,22.4%
PM,32.8,200.17,10.6%,20.3%,31.3%
MA,31.64,562.75,10.4%,11.9%,24.3%
BLK,29.32,1097.55,15.5%,3.0%,30.1%
T,29.2,24.66,19.1%,-5.6%,30.1%
ACN,28.06,164.66,32.3%,-8.4%,61.6%
V,26.76,366.59,6.8%,11.8%,21.1%
VZ,25.76,48.19,13.8%,0.2%,27.7%
ABBV,25.65,263.2,3.5%,24.6%,28.3%
ADBE,25.0,249.18,21.5%,-0.6%,49.6%
CVX,24.34,187.58,13.2%,-1.6%,25.9%
BKNG,23.55,199.31,9.3%,18.4%,41.0%
LLY,22.46,1220.66,1.8%,26.7%,31.2%
XOM,21.73,153.04,11.9%,0.2%,28.7%
MDLZ,17.67,62.48,8.0%,1.8%,24.9%
MRK,17.58,131.82,2.6%,17.5%,30.2%
BRK-B,16.91,512.37,2.4%,8.3%,14.7%
SYK,12.88,346.6,4.9%,10.0%,39.7%
COP,11.27,114.1,9.8%,-7.4%,30.9%
PFE,7.11,25.25,4.9%,-4.1%,20.5%
COST,0.16,966.58,2.1%,-4.7%,23.8%
