generated_at,decision_date,ticker,weight,pred_ret,pos_size,effective_allocation_pct
2026-07-31 09:25:40,2026-07-30,SMCI,0.466544,0.021055,1.0000,46.65
2026-07-31 09:25:40,2026-07-30,HPE,0.378775,0.015569,0.8176,30.97
2026-07-31 09:25:40,2026-07-30,CTAS,0.154682,0.001765,0.3587,5.55
2026-08-04 10:55:31,2026-07-31,SMCI,0.259749,0.035268,1.0000,25.97
2026-08-04 10:55:31,2026-07-31,CTSH,0.236388,0.017771,0.6527,15.43
2026-08-04 10:55:31,2026-07-31,BAX,0.503862,0.004609,0.3915,19.73
2026-08-04 11:26:13,2026-08-03,,,,,
2026-08-04 22:04:20,2026-08-04,SMCI,0.420716,0.054111,1.0000,42.07
2026-08-04 22:04:20,2026-08-04,TER,0.031976,0.053212,0.9884,3.16
2026-08-04 22:04:20,2026-08-04,FIS,0.547307,0.030262,0.6915,37.85
