ticker,score,price ($),stop_loss (-3%),take_profit (+5%),1m_mom,drawdown
KHC,33.01,27.3,26.48,28.67,15.6%,0.0%
PYPL,25.44,58.32,56.57,61.24,35.1%,0.0%
T,23.68,24.66,23.92,25.89,19.1%,0.0%
F,22.99,14.96,14.51,15.71,7.6%,0.0%
JD,20.61,31.79,30.84,33.38,24.8%,0.0%
PINS,12.59,24.36,23.63,25.58,15.8%,0.0%
VZ,10.5,48.19,46.74,50.6,13.8%,0.0%
XLE,7.46,57.57,55.84,60.45,8.4%,-3.4%
KWEB,5.11,27.31,26.49,28.68,11.6%,-0.6%
RF,3.33,31.27,30.33,32.83,3.3%,-3.5%
LI,1.0,13.21,12.81,13.87,12.5%,0.0%
FXI,1.0,35.65,34.58,37.43,12.9%,0.0%
